****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2022 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Thu Apr 28 15:27:12 2022
Hostname: aorus, Username: bborges, PID: 287842
Working_Directory : /home/bborges/github
Command_Line_Options : c17v1_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
65
#Number of Measures
6
#Measure moments
Statistic,maxcor,maxnod,maxout,mincor,minnod,minout
Nominal,9.439e-07,0.7003,0.001022,-6.833e-07,0.6876,-0.001543
Mean,1.04e-06,0.7002,0.00106,-7.539e-07,0.6873,-0.001556
StdDev,1.603e-07,0.0002519,0.0001682,1.285e-07,0.00193,0.0003195
Skewness,0.3888,-22.17,3.15,-1.607,-2.548,0.2381
Kurtosis,2.582,595.3,29.02,5.514,19.4,7.366
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
maxcor,maxnod,maxout,mincor,minnod,minout,Q,QL,QU
6.667e-07,0.6947,0.0006197,-1.291e-06,0.6689,-0.002484,-3.2,-4.561,-2.569
6.753e-07,0.6963,0.0006473,-1.264e-06,0.6717,-0.002481,-3.1,-4.19,-2.534
6.839e-07,0.6978,0.0006749,-1.238e-06,0.6744,-0.002478,-3,-3.82,-2.5
6.991e-07,0.6985,0.0006856,-1.227e-06,0.6762,-0.002448,-2.9,-3.549,-2.455
7.18e-07,0.6987,0.0006882,-1.222e-06,0.6775,-0.002408,-2.8,-3.329,-2.405
7.435e-07,0.6991,0.0006905,-1.222e-06,0.6782,-0.002407,-2.7,-3.146,-2.348
7.497e-07,0.6992,0.0007119,-1.219e-06,0.6786,-0.002398,-2.6,-2.981,-2.285
7.622e-07,0.6995,0.0007358,-1.208e-06,0.6802,-0.002392,-2.5,-2.83,-2.217
7.684e-07,0.6999,0.0007572,-1.18e-06,0.6805,-0.002369,-2.4,-2.689,-2.145
7.721e-07,0.6999,0.0007725,-1.164e-06,0.681,-0.00234,-2.3,-2.555,-2.069
7.773e-07,0.7,0.0007858,-1.159e-06,0.6818,-0.00231,-2.2,-2.428,-1.991
7.827e-07,0.7,0.0008217,-1.154e-06,0.6824,-0.002265,-2.1,-2.305,-1.909
7.929e-07,0.7001,0.0008379,-1.125e-06,0.6831,-0.002242,-2,-2.185,-1.825
7.964e-07,0.7001,0.0008482,-1.102e-06,0.6833,-0.002207,-1.9,-2.069,-1.739
8.002e-07,0.7001,0.0008531,-1.088e-06,0.6836,-0.002186,-1.8,-1.955,-1.65
8.038e-07,0.7001,0.0008639,-1.072e-06,0.6838,-0.002143,-1.7,-1.843,-1.561
8.128e-07,0.7001,0.0008779,-1.051e-06,0.684,-0.002117,-1.6,-1.733,-1.47
8.199e-07,0.7002,0.0008831,-1.031e-06,0.6842,-0.002071,-1.5,-1.625,-1.378
8.312e-07,0.7002,0.0008923,-9.931e-07,0.6845,-0.002023,-1.4,-1.517,-1.285
8.391e-07,0.7002,0.0008996,-9.449e-07,0.6848,-0.001997,-1.3,-1.411,-1.191
8.46e-07,0.7002,0.0009076,-9.223e-07,0.6851,-0.001971,-1.2,-1.305,-1.096
8.553e-07,0.7002,0.000915,-8.919e-07,0.6853,-0.001924,-1.1,-1.2,-1.001
8.653e-07,0.7002,0.0009241,-8.625e-07,0.6857,-0.001871,-1,-1.096,-0.9047
8.754e-07,0.7002,0.0009332,-8.424e-07,0.686,-0.001824,-0.9,-0.9925,-0.8081
8.88e-07,0.7002,0.0009462,-8.13e-07,0.6863,-0.001795,-0.8,-0.8894,-0.7111
8.995e-07,0.7002,0.0009576,-7.846e-07,0.6865,-0.001772,-0.7,-0.7868,-0.6135
9.129e-07,0.7002,0.0009692,-7.672e-07,0.6867,-0.001731,-0.6,-0.6846,-0.5156
9.331e-07,0.7002,0.0009789,-7.481e-07,0.6869,-0.001701,-0.5,-0.5829,-0.4173
9.598e-07,0.7002,0.0009879,-7.375e-07,0.687,-0.001673,-0.4,-0.4814,-0.3187
