nodo,saida,pulso,pulso,corrente,set,num val,validacoes->
e1,g1,rise,fall,35.7559814453125,1.80e+07,1,'11010
e1,g1,fall,rise,29.23828125,1.47e+07,1,'01010
i1,g1,rise,fall,101.359375,5.09e+07,2,'11000,'11010
i1,g1,fall,rise,29.23828125,1.47e+07,2,'10000,'10010
e2,g1,rise,rise,37.8270263671875,1.90e+07,1,'01110
e2,g1,fall,fall,31.43115234375,1.58e+07,1,'01100
e2,g2,rise,rise,37.3397216796875,1.88e+07,1,'01111
e2,g2,fall,fall,31.065673828125,1.56e+07,1,'01101
i2,g1,rise,rise,157.88671875,7.94e+07,1,'01110
i2,g1,fall,fall,31.3702392578125,1.58e+07,1,'00110
e3,g1,rise,fall,36.1214599609375,1.82e+07,1,'00100
e3,g1,fall,rise,29.847412109375,1.50e+07,1,'01110
i3,g1,rise,fall,115.00390625,5.78e+07,1,'00110
i3,g1,fall,rise,29.7255859375,1.49e+07,2,'00000,'00010
g1,g1,rise,rise,33.6240234375,1.69e+07,2,'00000,'00010
g1,g1,fall,fall,26.314453125,1.32e+07,3,'11000,'11010,'11110
i4,g1,rise,rise,70.171875,3.53e+07,5,'00000,'00010,'01000,'01010,'01110
i4,g1,fall,fall,26.314453125,1.32e+07,3,'00100,'00110,'01100
i51,g2,rise,fall,44.65690612792969,2.24e+07,1,'00100
i52,g2,rise,fall,44.77385449409485,2.25e+07,1,'00001
i52,g2,fall,rise,23.871267318725586,1.20e+07,1,'00000
e4,g2,rise,rise,44.61883544921875,2.24e+07,1,'00000
e4,g2,fall,fall,30.1519775390625,1.52e+07,1,'00101
i62,g2,rise,fall,35.3905029296875,1.78e+07,2,'00100,'00101
i62,g2,fall,rise,28.7509765625,1.45e+07,3,'01011,'01110,'01111
i61,g2,rise,fall,97.4609375,4.90e+07,1,'00001
i61,g2,fall,rise,28.629150390625,1.44e+07,1,'00000
g2,g2,rise,rise,40.4462890625,2.03e+07,1,'01010
g2,g2,fall,fall,26.314453125,1.32e+07,9,'00001,'00011,'00100,'00101,'00110,'00111,'01001,'01100,'01101
